numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
205,-0.947,-0.131,0.366,4.944,4.524,-1.457
206,-0.947,-0.136,0.371,-0.984,3.044,-5.478
207,-0.926,-0.068,0.345,-1.266,5.821,2.144
208,-0.928,-0.089,0.339,0.252,2.953,1.060
209,-0.941,-0.086,0.348,5.554,2.457,1.572
210,-0.918,-0.092,0.328,-6.012,1.945,-2.731
211,-0.938,-0.088,0.361,-2.136,0.748,-1.938
212,-0.948,-0.100,0.403,13.382,-6.966,-10.849
213,-0.961,-0.147,0.406,4.425,-0.473,-7.545
214,-0.940,-0.125,0.378,-2.335,-0.732,-6.966
215,-0.947,-0.159,0.388,-2.075,3.029,-3.517
216,-0.938,-0.164,0.383,3.372,2.029,-1.190
217,-0.945,-0.155,0.377,6.554,6.561,0.687
218,-0.944,-0.141,0.371,-1.427,6.294,0.702
219,-0.936,-0.151,0.348,3.609,3.616,-4.929
220,-0.930,-0.110,0.372,-1.144,-0.076,-2.449
221,-0.942,-0.104,0.372,-7.164,-9.605,-10.880
222,-0.940,-0.128,0.434,6.775,-16.678,-18.440
223,-0.811,-0.222,0.364,-12.894,-45.273,-31.387
224,-0.787,-0.054,0.557,-137.924,-86.334,4.272
225,-0.832,-0.330,0.787,-152.199,-80.193,-26.077
226,-0.689,-0.394,0.655,-146.423,-26.802,-15.312
227,-0.506,-0.536,0.716,-160.500,33.676,-50.629
228,-0.425,-0.676,0.281,-80.879,-26.321,-28.168
229,-0.661,-1.095,0.160,-154.999,-25.894,-42.442
230,-0.257,-0.883,0.209,61.455,-25.688,-87.242
231,-0.304,-1.026,0.357,-134.178,-1.389,-115.860
232,-0.368,-0.987,0.264,-78.224,5.287,-9.995
233,-0.175,-1.047,0.260,73.425,7.164,-6.714
234,-0.133,-0.963,0.439,36.621,-15.320,-37.163
235,-0.063,-1.001,0.278,-64.598,-8.522,-39.810
236,-0.002,-0.961,0.303,-7.950,-1.106,-8.163
237,0.004,-0.999,0.323,5.127,4.143,-26.459
238,0.036,-1.094,0.269,-69.901,-8.003,-28.061
239,0.048,-0.959,0.228,9.399,2.922,13.817
240,0.136,-1.049,0.154,1.869,1.236,-3.922
241,0.120,-0.947,0.208,-7.782,11.726,-4.471
242,0.144,-1.113,0.073,-61.676,8.446,-5.959
243,0.180,-0.954,0.065,-0.687,6.416,-0.839
244,0.138,-0.990,0.057,-1.625,6.317,2.396
245,0.131,-1.270,0.102,23.972,-21.172,72.906
246,0.062,-1.053,0.028,26.260,2.815,18.028
247,0.047,-1.023,0.072,-1.846,10.681,-5.905
248,0.032,-1.016,0.080,-6.256,4.982,-3.342
249,0.085,-1.000,0.042,-1.389,5.112,0.809
250,0.076,-1.084,0.029,6.706,1.724,-1.320
251,0.102,-1.004,0.060,-0.252,3.754,-1.801
252,0.090,-1.018,0.042,0.969,4.486,1.564
253,0.091,-1.017,0.038,3.845,6.050,4.990
254,0.075,-1.034,0.049,-1.869,3.868,0.122
255,0.067,-1.001,0.043,3.242,4.707,2.884
256,0.073,-1.017,0.035,1.610,5.302,-0.122
257,0.059,-1.011,0.032,-0.420,5.257,-0.359
258,0.063,-1.004,0.037,1.106,4.417,-0.511
259,0.076,-1.009,0.033,0.763,5.524,-0.771
